Comment,label
skrg cman bsa doa usaha ikut saran perintah smoga positif lg jalan lurus dgan mati amin,positif
buka youtube klik trending klik berita isi perintah atas corona hasil bikin pusing rakyat,netral
moga kerja lapanganyang libur hindar virus wabah,positif
terkadang orang tengah bawah sperti mikir mati karna corona mati karna lapar,negatif
moga wabah cepat amin,positif
iya lock dowen,netral
klu tes masal cepat,positif
amin moga indonesia segaera bebas virus covid,positif
yah allah tolong selamafkan virus corona karna derita kangker otak suami salah rumah sakit pasyen jangkit corona,netral
terimakasih yuri,netral
mati sembuh njir bahaya,negatif
moga allah sembuh pasien virus corona sehat jaga tenaga ahli medis tangan pasien virus aamiin,positif
,netral
moga lekas baik balik musibah pasti hikmah,negatif
moga lekas sembuh bumi virus corona cepat hilang ramadhan,netral
ya tuhan hindar keluarga virus corona mati amin,netral
tolong lockdwon aja ngeri lihat nya orang liar karna penuh butuh hidup negara lockdwon ibu mati ratus gimana liar penuh butuh hidup,positif
semogga cepet musnah pirus korona ya allah,netral
lockdown aja cegah sebar covid,netral
semangat jaga sehat bersih moga wabah virus corona cepat aamiin,positif
awat maju singapur,netral
lekas sembuh infeksi,netral
ya allah ya tuhan jauh keluarga anak cucu adek abang kakak kakak jauh virus corona amin ya allah,positif
daerah edar hoax ttg pasien covid status odp tinggal camat tinggal sih sedih orang tega sebar hoax tngh musibah tp syukur krn hoax daerah waspada yah acuh pilih keluyur,negatif
doa usaha cari vaksin smoga cepat jasa harga bos qu semangat,positif
ngeyel yamg warga,netral
perintah kalo gin mulu prubahan,netral
saran ya positif gejala kudu isolasi d rs,positif
thanks info batas siaga,positif
ya alloh moga cepat hilang corona ad d indonesia,positif
heran virus serang manusia terna hewan virus mati hewan hidup manusia kena dampak berita abar,negatif
ya allah smakin nambah turs hari moga lekas sembuh trjangkit virus corona moga virus lekas punah dri muka bumi aamiin,positif
wuhan butuh desember maret utk bebas corona indo moga sehat slalu,positif
bilang pingin sehat isolasi mudah nasib kerja buruh peran perintah tunggu bilang kali kali himbauan kayak efek kerja masuk jalan rutinitasnya usaha rugi usaha bayar gaji karyawan rumah isolasi sosial distance usaha tiongkok indonesia bingung sehat isolasi makan ya sperti solusi,positif
berdo a allah swt zdikir banyak sholawat insyallah aman virus covid,positif
aja tiru tuh italywarga sepele corona bla bla blawarga tentang perintah lockdown coronalihat tuh angka mati krn lebih china,netral
buset udah negara engga lockdown,netral
tunggu sampe mati putus lockdown,negatif
tri bilang indo bebas corona udah deteksi canggih tpi bukti,positif
tinggal sembuh sembuh gimna sih bener,positif
hai perintah ngomong doang ada masker az ada apotik kosong,negatif
semenjak sunda empire tangkap tatanan bumi kacau he viss,netral
tamu bebas masuktuan rumah suruh ndekem didalamsama bae boong,positif
youtube inggris lansia isolasi kaerena rentan tular,negatif
tolong bilangin ngeyel,netral
salah ga sadar hadap virus dr jaga harga,negatif
lockdwone saka jkrt bal jawa sebar sabang merauke,netral
buset death rate nya euy kemaren skg lipat jd sorry nih ya kek kira gw orang positive nyampe deh dlm minggu depan kek gin,positif
diem aja d rumah beli ngga duit masker handsanitizer udh pd mahal udh pd kaga vitamin aja ga bsa beli doa moga lindung sehat trs,netral
moga orang timbun masker cepat mati,positif
masyarakat butuh masker pk,netral
virus hilang obat kece bayar,netral
knp wartawan nanya mati indonesia ya,netral
mau rumah kmna kerja gk libur usaha,netral
sakit tanggung hindar covid kena masak suruh obat rumah fakta perintah abai rakyat nya,netral
agregat mati pola hidup sembrono,negatif
lock down sehat no materi utama,positif
saudara sabar takut virus corona tuhan tau hamba doa kenal jdi uji selesai cepat,negatif
maaf solusi cicil tunggak kaum kaum hari,negatif
china temu obat nya share obat dunia negara infeksi,netral
baca selamat keluarga nama dar contoh mohon maaf sama nama,netral
yurianto muncul youtube takut hahahah gk bawa kabar smoga yah anak berita depan,netral
endonesa trnyta jmlhny sdkt dbndnkn cina itali,netral
jaga jarak jaga kontak cokkkk,netral
orang populer jumpa pers,positif
takut corona tuhan bawa agama tutup bodoh,negatif
lbh takut sm binatang buas sprti singa harimau drpd virus so stay keep calm and enjoy your life,positif
mohon sadar,positif
isolasi tmpt keramain,netral
moga cepat hilang corona indonesia,positif
sepele himbauan perintah virus korona nyata cegah obat takut,positif
inti diem rumah stop kumpul rumah agama,netral
moga hadap covid iniagar bumi sembuhhkasian bumi tuhan,netral
cek pelosok negerimasih blm identifikasi desa ribu puluh ribu jangkit corona cek positif pindah pulau udah siapin,positif
tambah peran masyarakat butuh,netral
cnn ngehoax ya jdi jongose gub dki ya ksih berita valid,netral
knp mati,netral
astagfirullah asa barusan bru liat tinggal eh udh,netral
coba kasih vidionya orang indo sdh kna virus corona biar smua hati hati,negatif
sekolah libur tp tetangga latih danza dibilangin susah ndak,positif
blooom perintah gerak melockdown kota sebar nya,netral
lockdown jakarta jawa mati tingkat ratus,negatif
parah lapar nih gimana solusi,positif
mati serang jantung,netral
suara bilang covid azab utk china ampe indonesia,netral
bulan ad udah trinfksi cpet bngt mnggl sklai ya alloh ampun dosa kminy alloh sgeralah ambil wbah covid ijinkan mnjlani ibdh puasa idul fitri bsa dmai tenang khusuk amin,positif
ya alloh kali komentar biar pemerintahmasyarakat butuh masker hand sanitizer harga normaldengarlah rakyak,positif
perintah dengar teliti lihat aja tuh komen takut corona takut tuhan,negatif
fokus jaga masyarakat mari henti salah fokus baik,netral
tuju perintah masker gratis like,positif
italy ajar salah italy,negatif
perintah opservasi warga karna warga tau jangkit,netral
sholat tahajud sholat taubat ampun sm alloh swt d sudah sakit negara blm mumpuni dlm mghadapi ny kasihan tenaga medis dokter spesialis pda tinggal brati proteksi pada,negatif
capai people death,netral
dirincikan capai an tsb daerah provinsi jakarta,positif
sulawesi selatan update,netral
diliburin libur masyarakat,netral
bicara indonesia negara maju ya,positif
korban tinggal ya bgt,negatif
mari tingkat imunitas tubuh konten corona sudut pandang akupresur moga manfaat,positif
welcome to indonesia,netral
masyarakat resah derita siar publik masyarakat g tau waspada,positif
ayok sayaa ajak istighfar like comment istighfar istighfar hindar virus aamiin,netral
makan bilang rumah pergi libur,netral
stay rumah gerak rebah asupan makan nntn nya berita stress kah,netral
moga jauhkn virus corona aamiin,positif
harga masker kotak dekat harga emas gram,positif
kondusif harga masker kau pilih rakyat kau kuasa,netral
jgan lockdown tunggu ribu orang jdi korban biar ad rekor dunia,netral
simak kondisi kini covid terima kasih informasi,positif
chinna turun tuh virus ngukutin aja,negatif
tolong masyarakat pnya hajat nikah khitan mohon dihimbau d suruh tunda,netral
kalo berfikir sakit orang orang kaya suka negeri dampak welcom to indonesia,negatif
hindarii ramai please,netral
piye iki ros nambah,positif
nih obat avigan datang,netral
malaysia langsung lockdwon,netral
duit ayo abidjan beli masker,netral
mati akibat covid d asia tenggara no indonesia malaysia singapura parah korban tinggal,negatif
sakit obat wabah atas amiinn,netral
makasih pa jaga sehat pa,positif
batuk,netral
astaghfirullohal adziim innalillaahi wa inna ilaihi roji uun ya alloh tambah keep stay at home usaha usaha kerjasama perintah kerja karyawannya rumah aja kasih libur parcial tekan angka tular,netral
sini sesekk nafass,netral
inalillahiwainailaihirojiuun moga khusnulkhotimah,netral
minum vit c gimana,netral
kalsel,netral
harap buka yutub kena kurang bertambh,negatif
buset tinggal banget kasus,positif
ayo warga kn ego lebay ngeyel sok tau jaga bersih taat atur perintah kurang epidemic corona,positif
jabat kencing diri rakyat kencing lari,netral
sayang keluarga rumah,netral
hehehehe mpon mpon neh kaleng kaleng bro,netral
hi must under the sun,netral
asstagfirullohkenapa,netral
setidaknnnnya sembuh,negatif
tgl blm update,netral
menghawatirkan pas arus mudik kampung kena imbas smoga bln ramadhan virus lenyap ya allah,netral
bandel tau tp tetep pergi kena perintah salah,negatif
stay safe moga cepat baik sedia,positif
seleksi alam kuat tahan lemah habisambil hikmah nya,negatif
mari rame rame doa smoga korona hilang ramadhan aamiin,negatif
gimana ngurus corona ngurus masker n sanitizer aja becus,netral
y allah moga cepet tolong gula pasir kemas ko nyarinya susah y smnjak d corona,negatif
bandara labuh terima datang orang china corona lenyap bumi pertiwi korban,netral
indonesia udah garis merah,netral
malaysia tinggal dikit indo lumayan arang a alat apd barang mahal,negatif
anying orang suruh gin gitu panik orang kasih masuk suek anying,positif
harareboh corona corona mun ceuk allah keuna rek ngaromong naon rek make masker rangkep make hand sanitizer galon ge ai geus waktuna keuna mah nya keuna we,netral
hormat tolong lihat guna krl jam berangkat pulang kerja tolong bijak,positif
pakkk,netral
negara primitif lawan virus modern,positif
duluin,netral
musim hujan hujan gmpang kena demam jaga sehat,positif
stay at home thanks sehat,netral
moga sakit sembuh sehat jaga kesehatanya mari disiplin,positif
sakit rumah sakit paranormal,netral
saran klu bs perintah bagi masker gratis rakyat nya karna butuh,positif
corona berakir doa allah corona hilang muka bumi biar manusia aktipitas amin,netral
uji kuat hati tahan moga rumah hidup keluarga lindung amin pakai semboyan truck gandeng jaga jarak,netral
kadang udah bener program social distancing eh orang anggap sepele salah contoh aja belanja butuh pokok minimarket udah pake apd social distancing pas antre bayar eh nyerempet deket deket negur bilang lebay,positif
ga lockdown,netral
gimana indonesia badengardan ambil pusing masyrakatnya sakit positif coroona berbaahaya banget bro,negatif
assalamualaikum corona sulit masuk indonesia mudah masuk orang negeri bawa wabah masuk indonesia tri sehat tolong obat vacsin imunisasi krn dampak kebal virus,positif
menteri sehat mana biadab ingat,positif
bnyk jdi jual dada masker hand sanitizer harga stabil kali lipat,positif
ayo support kooperatif warga indonesia stop salah selesai masalahdan lupa doa lewat uji amin,negatif
ya allah selamat negri bencana wabah sakit takut mati ya allah aamiin,netral
bom tes masal ya kalo udah tes masal ngejar posisi italy laku warga indo ngeyel ga atur,netral
makasih mengupdate info baru smg nya tetep sehat d jauh sgla sakit smg smw d jauh sgla penykit kena smg lekas sembuh sehat,positif
ditangerang bnyk rmh tegur gala alas financial emng warga gk urus nya dapur,positif
assalamualaikum gimana cegah hujan buat isi basmi virus contoh indonesia landa kering tabur garam hujan buat,negatif
korban nya langsung ledak gin tahap tolong kepala batu sadar,positif
tolong tes buah pohon ketap dipake obat virus corona,netral
allahu akbar,netral
indonesia lock down,netral
ayo kerjasama perintah pusing diem rumah aja biar sebar semuanyaaa,netral
indonesia darurat sadar jdi ginih akibat nuruti perintah bentar aja susah nya sih,negatif
sebenernya gen nghindarin alias waspada peemintaan masrakat sangkut denggan bang cnn menyapaykan pemeeintah tangguh selam,netral
semangat awan hasil lalai remeh thdp wabah tanggung ya biar kena reshuffle aja,netral
gimana nih krja hari nganggur lg mkan mati,netral
kaget,positif
terimakasih yuri,netral
gw positive udh cuman sadar aja jangkit virus,positif
malaysia gelintir keras kepala tentera kerah,negatif
periksa nyata negative kena sembuh main angka kasi rakyat virus masuk indonesia nntinya,negatif
resep obat virus corona kapulaga gramcengkeh gram,netral
d jakarta bs manfaat wisma atlet mgkn manfaat kampus gor utk ruang isolasi papar virus lebih kapasitas rumah sakit,positif
mudah mudah cepet kelar biyar gw bebas,positif
iya rakyat hidup paspasan gimna gk ikhtiar hari aja bingung mikir perlu hidup,positif
semangat,netral
banget mati,negatif
sadar masyarakat dlm arti gejala periksa catat sedia alat test rumah sakit daerah tiru warga korea selatan lockdown rakyat sadar partisipasi masyarakat tangan wabah cepat atas,positif
usaha morowali lihat hari karyawan desa mobil angkut karyawan mana dalam gabung kerja asing,negatif
,netral
indonesia hancur sombong komunis corona wuhan,netral
bilang hati hati sehat sdh infeksi ngetest gmna bnyk ngomong cerita indah action masyarakat nol smp skrg masker aja susah disinfektan aja mahal hebat perintah kalo jadi sinetron mgkn rating,positif
akibat perintah mulu gap remeh tp pintu msk negara buka cari wisatawan data tutupin korban positif gk data jalan ya jdi rakyat gk tau kemna korban udh ribu bs rawat gk ad tugas alat dll korban positif nnti mati pertlongan ya rakyat jdi korban ya,positif
mengagap remeh anggap enteng korban tinggal kena corona sadar,positif
suruh diem dirmh mending lockdonw nyalahin bisa nnti ud bru lockdonw,netral
orang miskin,negatif
inti ihtiar berdo a,negatif
teman tular temu mall kondisi demam mual batuk dll kantor langsung suruh,netral
ya allah amba mohon henti virus corona landa indonesia,netral
fatality rate covid indonesia banget,positif
ayo warga bebergian remeh sakit lihat negara italy,netral
isolasi dri trs gmn dpt pengobtanya,netral
sebenernya sembuh obat aja blm pas cek detek trus nyata sembuhpulang rumah nyebarin virus orang daya tahanya lemah lgsg sakit,negatif
assalamualaikum buah mengkudu jahe bawang putih mohon percobaanperasaan kuat resep ilmu harap ilmu baca coba wassalam,positif
binggung komentar opo haha,negatif
dimedsos tegas lapangn karna masyarakat ngeyel,negatif
virus,netral
jaga daya tahan tubuh ga instan virus tubuh masuk virus tubuh sakit azab ya robb ngeri yak ampun ya allah ampuuunn tunjuk maha esa mu hamba percayaaa,netral
tolong harga masker normal kasi uang,positif
virus cina alat cina,netral
siap strategi oenyembuhan tresing ketes masal obat siap,positif
nih ilmu indonesia virus tanding bunuh corona tinggal sebar aja virus tanding corona hilang,netral
mohon cek corona sulsel banget,positif
udah sakit mah sakit aja,netral
sumatera selatan,netral
gimana ga korban jiwa orang beli masker aja ga bunuh rakyat nimbun masker,negatif
mati,netral
dr mah,netral
harap orang jaga diri,netral
kutuk jual masker dll wabah ambil sempat dlm sempit bunuh,negatif
ya allah sya cmn turun harga masker kasi gk beli gk pas virus corona harga masker ribu aoa ribu tolong donk negara indonesia hidup sehat kalo kaya gin harga masker mkn virus tambah kalo tolong like biar manusia juak masker mikir sehat,positif
pandemi sebar luas sakit kawasan benua dunia wabah kbbi sakit tular jangkit cepat serang orang daerah luas sakit wabah cacar disentri kolera epidemic definisi kbbi sakit tular jangkit cepat daerah luas timbul korban sakit jangkit daerah,negatif
lock down,netral
panik jokowi bangun rumah sakit khusus korona pulau galang batam,positif
gimana cegah coba gwa mw beli masker apotek aja kgak sengaja timbun biar warga mati bngsat emng pra jual masker sengja nimbun tolong perintah sika sangsi timbun masker naik harga masker,positif
jaga sehat,positif
keteter virus buming santuy perintah anjay lockdown lock down begok becus,negatif
isolasi ngomongin kalo rumah ukur meter isi orang rumah dempet,netral
gmna ne tmbah tmbah bnyak marila patuh atur kbersihan,netral
agus p karna doacovid lets try your country,netral
yaallah moga virus corona hilang ramadhan dateng aamiin,netral
masyarakat indonesia ajak lockdown libur nongkrong ntar gilir kena teriak perintah salah rezim salah jokowi,negatif
inallilahi duka baik parah,negatif
ya alloh trus tambah semo cepat musnah virur corona muka bumi biar trus tambah korban ganas virus aminnnn,negatif
cari masker sanitizer aja susah chek lapang bos,negatif
diam rumah diam rumahdiam rumah diam rumah,netral
stay at home stay safe,netral
takut kemarin ngomong korona takut allah takut halah bacot takut korona turun bawa allah dikeluarin fatwa mui aja tentang yah agama ilmu omong kosong,negatif
masyakarat sadar kasihan perintah kasihan tim medis,positif
sisih pihak jahat bnyk tersikirkan,negatif
jokowi lockdown,netral
tess masallnya gratis atauuu,positif
minggu d ribu virus corona sebar cepat warga indonesia remeh corona serah d doa,positif
hitung haya dihimbau lokdouwn dlu bilang bagus orang nambah kena astaga tolong tutup,positif
hehehehe bicara kayak ahli aja ajar,netral
masker,netral
masyarakat udah ikut anjur pememrintah stay at home perlu luar rumah akses masker sulit,negatif
lihat positif lambat tular kemarin nambah nambah moga lambat henti amin,positif
corona tumbuh asal dri cm diam,negatif
virus sebar cepat masifsudah sulit bendung laju sebar lokal transmisikalau perintah kerepotancara tempuh tekan sebar virus,negatif
hidup dunia cuman kalo mati hidup mangka puasa insyaallah sakit sembuh allah swt lupa sholat shalat berwudhu lh sih jalanni hidup sehat insyallah lindung allah swt amin,positif
jaga sehat gaes takut virus takut maha kuasa,netral
cepat lockdown,positif
case mati tingkat mati buka percaya dokter cmn asumsi penangananya pada dr alat sehat,positif
kampung weekend pd ngumpul dengerin lagu nyanyi besok pergi siskambling bikin lgi dri rt rw tindak buka hotline mana rakyat bikin lapor utk dekat cuek nakal nongkrong dllkyk gin lockdown nya stay rmh aja susah habis komplain nyalahin perintah,negatif
lok down aja dr pda taat,positif
perintah lambat menanganj,negatif
warga indonesia semangat sakit kayak libur suruh drmh libur wkwk,positif
bener g sih corona virus dr kelelawar tp g ad y mati kelelawar,positif
masker susah cari handsanitaizer harga y langit bantu perintah,negatif
seblum puasa cepat laku lock down umat manusia,positif
screening skrining cnn indonseia,netral
malaysia udah lockdown mongolia langsung lockdown,netral
demam sakit tenggorok besok ny sehat dwmam sakit tenggorok batuk ringan dahak papar virus corona tolong info alam,positif
cepet banget,positif
daerah lurah adakan cek sehat masyarakat makasih,positif
harap nambah teman ga diomogi tular,netral
batuk dahak same tb,netral
hebat teks,positif
rem bro angka mati nya bilang,negatif
mari dukung himbaun perintah,netral
jngan biacra skrang blum lockdown mari jaga kluar rumah mngkrantina bicara lockdown blum kurung ya malaysia blum lockdowm total bnyak wrganya ngluh gx,positif
achmad yurianto terimakasih dedikasi nya moga keluarga lindung allah amin moga masyarakat indonesia sehat walafiat amin,positif
lockdown jalan baik,positif
kenal nama parno gk,netral
mati udah kenq corona udah ribu indonesia,negatif
dampak virus tp muncul gejala ringan takut pulang rumah takut carier nularin keluarga moga sehat tuhanaamiin,positif
kerja gk libur gimana nihh,netral
orang haram kayak gin bikin perintah susah udah tau d negri ad virus corona pergi kluar negri bawak virus nya bikin resah kalo udh gin cobak ngeluh smua ajir,negatif
takut corona harus nya takut allah swt karna tegur,negatif
banget rate mati indonesia,negatif
jujur sebenernya nanang covid indonesia lambat bilang lambat indonesia jangkit responsif perintah tindak lanjut virus indonesia jangkit virus negara rebak luas indonesia depan ekonomi sehat rakyat susah si nge lock down ga ngalahin perintah si tugas putus sebar covid rebak luas,negatif
orang china majalengka jawa barat kemarin tv suwasta aja gk isolasi,netral
,netral
hadhuhh indonesia msh rekor norway maret,netral
,netral
perintah lot rakyat ya gk bs atur,netral
butuh masker,netral
masyarakat ayo bantu perintah tenaga medis ikut atur perintah simple baik masyarakat keluarga temen dll moga cepat pulih aminn,positif
ancam serius wabah virus corona mati banding sembuh cepat atas wabah serius kiamat dunia wallahuallam,negatif
dont panic jaga seh jaga jarak utk komunikasi orang moga warga indo sadar anggap remeh virus,positif
tuntas,positif
kantor swasta buka hindar virus corana mohon kantor pusat,netral
kabar gemiranya berita mulu tundakane pie,positif
saatny jokowibiktikn kpiawaian mnyelamatkn warga negara mnepati janji bmanfaat kartu bagikn,positif
ngeri ya,negatif
diam rumah lihat anak ga makan intruksi solusi negara sibuk penting inisiasi kalang tengah atas coba lihat suara paksa diam diam hadir lapar keluarga masker aja ga sanggup beli harga langit handsanitizer belm nasi anteng dirmh bajwa bangsa bangsa tidal rakyat nya butuh situasi bangsa dl suka menghisap darah bangsa mana letak bangga bangsa indonesia,positif
pray for word,netral
bismillah datang wabah sebab krn maksiat jalan dg wabah ingat smua berfikir bwt dosa cm ente tanggung akibat tp smua bs tanggung akibat ayuk bebenah bebenah hati,positif
daerah himbau an,netral
corona bahaya sembuh tenang panik mati sembuh jiwa manusiawi ku getar,positif
masker sarung tangan handsanitizer daerah langka cegah langka resah tolong jalan cuman himbauwan,positif
orang indo sok sok an udah nak,negatif
indonesia santuy saking santuynya dunia panik indonesia piknik wkwkwkwkwk masyarakat salah perintah hujat,netral
doa semoha sembuh jiwa mati,negatif
kayak amerika tinggal sembuh,positif
beli masker walpun murah larang timbun coba beli aja harga mahal stock tetep timbun males jual takut tangkap binggung tangkap hitung jari penimbum mula pro da jual ketar tir,positif
patuh atur perintah pusat cegah tular,netral
ya allah milik pada,netral
first,netral
orang indonesia bantu dcukupi butuh rumah udah g bodo,positif
malaysia mati indonesia mati itali korban mati sembuh lbh dr mati indonesia bnyk resiko mati diam jiwa,positif
slhnya diam rmh ikut intruksi perintah cegah virus sebar please,netral
sya bilang jaga jarak sosial semi lockdown gmn solusi biaya hidup n byr utang slma diam rmh cz pkerjaan sya slh driver ojol,positif
lockdown solusi kerja hubung orang himbauan kerja rumah usaha swasta harus karyawannya masuk,positif
aplause si planga plongo,netral
kt harap rakyat indonesia dgil kurangkn rumh negara,netral
parahsi tpi gw sih bodoamat,negatif
diem d rumh kerja retail,netral
lockdown kaya italia usir warga asing china bangsa karna bawa penyakitfakta modar karna corona,positif
lesat,netral
heran presentase mati beda tangan indonesia egak malaysia,netral
ojol gmn rumah mati kena coronadi rumah mati ga makananya allah pada sembah pada mohon tolong,negatif
baik ganti,positif
update orang mninggal update ditemukanya vaksin bunuh corona nih botak,netral
coba tutup akses masuk negeri tutup akses negeri aman,positif
persentase mati indonesia negara jawab cuman disiplin kasih libur tamasya nongkrong jalan biar kata gaul sok kuat takabur anggap enteng wabah indonesia santuy barbar alhasil tular rebak tengah kurang alat medis teks papar,positif
lockdown,netral
jangn pda bandel ikut anjur perintah,netral
bohong data lapang,netral
kurang korban jatuh sangan berat lockdown berat nyawa harga,negatif
terimakasi achmad yurianto informasi moga sehat gbu to all and stay safe,positif
inti nya lock down kalo lockdown hindar corona malu gengsi kadrunbiarin aja tular perintah dah beli obat nya,negatif
nambah trs,netral
tindak orang orang harga masker,netral
