Username,Comment
Asrul Suwardi,Insha Allah Corona akan segera berakhir aamiin
neng geulis Oppo,"Semoga bpk yuri selalu di berikan kesehatan ya pak,sy melihat bpk sepertinya lelah sekali"
Dol putra Bogor barat,Nurut lah buat warga yg daerahnya rawan sm himbauan pemerintah supaya tdk lebih parah kondisinya...
irna grigri,Sehat selalu Pak Yuri... Semoga masalah ini cepat selesai ya Pak.  😇
ii pujianti,"Presentase kematian di indonesia termasuk yang tertinggi hampir 10%, pengennya dirumahaja tapi kerjaan ngga diliburin, but tetep jaga jarak. Semoga indonesia dan dunia cepat pulih"
Yudhishtira Alief,Yang mengambil pemanfaatan dari kasus ini semoga cepet sadar.....Harga masker wowww banget..
Ira Naya,Astaghfirullah ya Alloh smoga segera musnah virus Corona ini Aamiin ya Robb..
Rizal green,"Ya Allah lindungilah semua keluarga saya, berikan kesehatan"
Herman Ibos,"Bapak ini ga liat teks ,,   salut👍👍👍👍"
Riyan Coni,"-Semoga kita yang sehat tidak tertular-Semoga yang sakit (+) corona, cepat di beri kesembuhan-Semoga para ilmuan cepat menemukan vaksin/anti virusnya-Semoga bencana virus ini, bisa hilang sebelum bulan ramadhan tiba"
Aghata Maria,"Yang nonton 11,5rb, yg ngelike 1,3rb, yg komen pedes 1rb..."
DEWI DEWI,Lama² kita lelah sampe males ngitung jumlah korban lagi 😭
M. RiFaL,Ya allah lindungilah kami sodara kami dn sebangsa kami dri virus ini Amin 🙏🙏🙏
Syarif Cuys,Ya allah semoga cepat berakhir musibah virus ini
ZONE GAMING,gw jd inget angka2 Quick count...-Klo angka Quick count kan bs di rekayasa.-Klo angka yg satu ini bs di skenario kan.Semoga puncak gunung es(virus corona) nya cpt mencair dan menghilang dr indonesia.
Libel Desan Prihadi,Alhamdulillah komentar netizen udah banyak yang positif...🙂
Priaa Baik,"Tolong lah tolong, ikutin peraturan dari pemerintah pusat, menjaaga lingkungan, gausah keluar rumah kalau ga penting banvet"
Aulia Husna,Nambah terus gkpapa yang penting ketahuan semua yang kena dari pada dikit tapi ternyata yg gk terdeteksi banyak
Ganis Kesuma,"Bapak ini mungkin dalam hati juga lelah, setiap muncul di tv cuma ngabarin kasus corona. Sabar ya pak,"
SA Channel,"semoga lekas sembuh ,buat yang positif terkena virus ini :("
a w,Pak Yuri semoga sehat selalu
Jack Yunus,Ini proyek besar Freemason Illuminati ? Amerika Israel dkk?Partai siluman mana ? Bagi2 duit dll dng
sidik amin,"semuga sebelum Ramadan tiba virus itu allah hilangkan dan angkat,semoga yg sakit cepat sembuh aamiin"
Dwi Subiantoro,BISMILAHIROHMANNIROHIM.SEMOGA ALLAH SWT HILANGKAN WABAH DI DUNIA INI.AAMIIN YAA RABBAL'ALLAAMIIN.
MM Barokah,"Semoga Corona cepat pergi 😞Sebelum pergi, aku berterima kasih kepadamu Corona karena membuat sekolah diliburkan dan UN dihapuskan 😂"
Sari Maharani,"semoga yg positif cpt sembuh dan yg meninggal semoga husnul khotimah,bagi yg sht mari bersama2 menjaga personal kesehatan dan kebersihan  semoga kita terhindar dr virus apapun Aamiin"
Yondri Mode,COVID 19C = Cuci tangan pakai sabunO = Olah raga dan minum air putihV = Vitamin dan jaga jarak
riki Lost29,"""KITA GAK USAH TAKUT PADA VIRUS CORONA"" Yang Kita Takut Adalah ALLAH SWT"
Figih,"Nunggu komen ""Indonesia gak bakal ketularan corana"" (seperti 2 bulan yang lalu)"
Lia azzahra,Penambahan 2 kasus dr papua itu adalah di merauke 😥
Apri Yanti,Tiap ada berita begini sy jd H2C
Mbah Google,"Sekarang pnyakit tipes pun jadi corona ,,"
Sigit Febrianto,yang masih pda nyalah²in sebenernya dia tu bingung karna jg ga bisa apa².pdhal skrg ini indonesia sedang banyak diuji1.corona2.kurs rupiah turun
Ian Pratama,Percuma isolasi diri jika dibandara masih wara-wiri WNA 😢
Atanasius Tendy,Semoga cepat selesai
Orlando watagiri,"Hobby kumpul-kumpul bisa memicu penyebaran virus Covid 19....Makanya gak usah kumpul-kumpul...!!!Loe kalau mau mati,,, mati aja sendiri.....gak usah nyebarin ke orang lain....!!!"
Jiha June,"Plis dong, jangan smpe ada yg meninggal lagi 😭😭"
Gita Wijatantu,"Yaa Allah 😢 Mudah""an virus ini cepat berlalu sebelum bulan suci ramadhan..aamiin"
park mince,"Ayo warga +62 jangan terus""an santuy,,, nyatanya masih banyak warga yng pd nongkrong d jln dan gak pke masker,,,"
arrif 8888,Chanel cnn indonesia sprtinya wartawan nya g prnh nonton berita islam atau tentang kuasa ALLAH SWT dan tentang nabi2 jdi videonya isinya tentang kepemerintahan saja
Hendy Sie,OMG! ANGKA KEMATIAN HAMPIR 10%
Koma Rudin,"Cara bicaranya mantap,mudah dipahami,tidak membaca teks,dan bicaranya mengayomi,sehat terus pak mantap"
Naomi Andara,"Semoga sehat selalu pa Achmad Yuriyanto yg selalu memberikan info terupdate,"
Unggu Cuantik,"Sehat terus ya pa,,,wlaupun lelah bp terus mmperingat kan kami semua,,,trm ks bp"
Poetra Santana,"Pelajaran yg bisa diambil dari virus covid-19 ( corona )1. Secanggih apapun teknologi manusia , masih ada sang maha Pencipta"
Humairah Aisyah,Lindungi kami ya Allah😭
Morning Cafe,Alhamdulillah ada screening test massal spt di korea.. Soft lockdown aja pak.. Ksian bbrp perusahaan msih ada yg bekerja..
mikhael ardi,Orang di indonesia ini pikirannya lebih baik mati kena korona daripada kelaparanKekonyolan yang hqq
Elisa Julianty,"Tiap hari bertambah trus ya Allah, semoga virus yh cepet hilang amiinn"
yongki maulana,Apakah seseorang yg positif covid-19 di RS biayanya dibiayai oleh pemerintah?? Mohon pencerahannya...
Atokom 1979 Gaming,Pemerintah hasil curang presiden hasil tipu tipu
Akbar Alya,"Sbntr lagi ujian skolah,Ramadhan sbntr lagi juga tiba,smoga Virus corona sgra pergi dri negara Indonesiaku, Amin"
Arslan AlFaruq,اللهم سلّمنا... سلّم جميع المسلمين والمسلمات...
Agus Anto,Kepulauan Riau yang meninggal karena Corona ' 0 '  ? Faktanya?
Titin Yuliana,gak ada lagi yg bilang corona adalah Tentara Allah
Rini,Ampuni lah dosa2 para hamba mu ini ya allah dan semoga segera di hilangkan virus corona dri alam dunia ini ya allah.
Asep Surasep,Saya cuma bisa berdoa semoga virus ini segera hilang dari indo.. ya allah kasihani lah rakyat miskin dan orang2 muslim d indo..
Bintank 71,"Kebanyakan yang mati dari pada yang semuh, bagaimana bisa ada orang yg bilang kalau terkena virus corona bisa sembuh sendiri."
kedai joglo bae,Semoga secepatnya Indonesia terbebas dari covid 19
yuuanything,"saudaraku, mari, jangan menyalakan siapapun, jangan hanya menunggu pemerintah bertindak , mari, kita jaga diri kita, keluarga kita, saudara kita, sahabat kita .jaga kebersihan, jaga daya tahan tubuh,  olah raga teratur, makan sehat, berdoa memohon perlindungan kpd Sang Pencipta, Tawakkal menyerahkan diri."
Cheese Nana,Semoga Kedepannya Lebih Banyak yg Sembuh Dan yg Meninggal 0 .. Ayo disiplin plissssss.. .. .. Demi Kebaikan Bersama ..
Erwin Erna,Bapak achmad jubir corona smoga sehat selalu.cara bicaranya gampang di fahami terutama kalangan awam.smangat terus pak
Nevi Sw,"Ya Alloh bebaskanlah negeri ini dari Virus"" berbahaya Allohumaaminn"
harta perdana saputra,"Tiap hari nambah 100 minggu depan nambah ribuan, ingat diluar pasti ada yg positif sedang berkeliaran"
Rizky Segha,Death rate 9% guys. Be safe!
Freemason 626,Semoga cepat ditemukan vaksin yang ampuh buat COVID19 dan seluruh dunia sehat 🙏
Alip Fatimah,Indonesiaku jgn sakit😭😭😭Hkg 2020
Wellma Vira putri,Yaallah udah 514 yang kena😣
Unggu Cuantik,Semoga allah melindungi bp dan kuarga kami semua
iki master,"Coba lh,,, cara berdoa,,,dg amalan2 spiritual khusus pengobatan,,,"
M Azhari Hakim,"Awalnya cuman 2, sekarang jadi 250 kalinnya,😰"
Ibrahim Alan,"Sekali2 update mitigasi/penanganan nya dong boss, langkah2 terbaru yg sudah diterapkan."
Maya Nurhasyim,"Virus ini sangat membahayakan jiwa kita, ayok hargai keputusan pemerintah jangan malah leyeh2 aja"
Ramuan Herbal Sriaji Obat Hiv Aids,"Jaga daya tahan tubuh, semoga semua sehat semua..."
Fahmi Rizal,Bismillah  semoga kita dijauhkan dari wabah ini YaAlloh berikan kesehatan keselamatan bagi negeriku
Haryatiy Haryatiy,Semoga indonesia.... Cepet reda dlm menghadapi wabah kovid - 19 ini... Dn bisa secepetnya tertangani.... Semoga tuhan melindungi seluruh rakyat indonesia... Amin
Komaria Shepherd,"Kalo ingin jd pahlawan di negeri sendiri, patuhilah anjuran pemrintah."
sri sulistyawati,Semoga cepat teratasi covid19Shg anakku bisa narik ojek lg utk menghidupi kelg kami...Ya Allah lindungi kami semua semoga Engkau curahkan kesehatan keselamatan utk semua rakyat Indonesia...aamiin ya rabbalallamiin 🤲🤲🤲
Angga suryadirgantara,"inalilahi'wa'innailahi rojjiun .. ya allah rindungilah kami semua 🙏 .. smg di berikan kesehatan , di berikan umur yg panjang . ya allah hilangkanlah virus covid19 yg telah memporak porandakan umat manusia di bumi ini . semoga yg sakit cepat pulih , dan semua korban engkau terima di sisimu ya allah .. ammiiinnn 🙏🙏🙏🙏"
Resi Viana,Yg meninggal da banyak 😥😥😥😥
Agus Sururi,Pemrintah bingung ...Masyarakat Sibuk berkatan sibuk rewang sibuk mantenan sibuk hajatan
Hari Purwanto,"Msh aj yg komen slalu bnr, dan saling mnyalahkan..."
Tatang Ramdani,"Smga ujian ini cepat selesai,, dan banyak pasien yg sembuh"
Adlina Haezah,Innalilahi wainailaihi rajiunSmg cepat membaik😥
David Gaming019,Ya allah berikan lah rezim dalam pemerintahan virus corona dan biarkan dia mati .amin
selvi watanabe,Ya allah banyak banget yg meninggal. Kita di jepang ngikutin peraturan pemerintah dr awal maret tdk banyak kluar rmh. Stay safe ya saudara2ku di indonesia.
Nanang Kurniawan,Alhammdulilah ada juga yg swmbuh semoga semua bisa sembuh.
Tini Zu,Yang meninggal 2 x lipat dr yg sembuh...ya Allah.
asok,nanti sore jumpa pers lagikorban tewas tambah lagiinpo palid
paino insan,"semangat semangat, patuhilah anjuran pemerintah indonesia, jangan melawan"
Hendy Prayitno,"Taati anjuran pemerintah,diem saja dirumah,mudah2n cepet pulih kembli bangsa ini ya alllah...."
virgian patramanda,"Terlalu menganggap enteng di awal padahal belum siap, menkes dmn skrng?"
"Sendal Swallow, S. Pd","bapak ini cara bicaranya sangat bagus, salut👍"
sunda,ga di lockdown sewaaan cicilan masih berjalan wkkkkk
denny maulana,Penderita Axienty semangat yah jgn negative thinking semangat ayooo
aulia alaydrus,Ya allah ampunilah dosa semua hamba mu ini ya allah... Ampuni dosa keluarga ku juga aminnn
Rafy Mtr,لا حول ولا قوة الا بالله
ocha lina,udh tiap hr yg d liat berita bgni..eeh kemaren gue mergokin  laki gue cek in ama ciway  laen...tambah streesss ga tuh
Anton Herdiansyah,Calon top global corona...
HF dis,"Skrg cman bsa berdoa berusaha dan ikuti saran pemerintah, smoga kasus positif tidak lg sejalan lurus dgan kasus matinya amiin"
Tutorial-Android PriaPunyaSelera,"Buka youtube, klik trending, klik berita. Isinya pemerintah atasi Corona. Hasilnya bikin pusing rakyat dgn janji2"
Super Mendrex,Semoga para pekerja lapanganYang belum diliburkan terhindar dari Virus yang sedang mewabah
Didot Ditz,"terkadang orang menengah kebawah sperti saya cuma bisa mikir,  antara mati karna corona? atau mati karna kelaparan?"
Yudi Yudari,Semoga wabah ini secepatnya berakhir. Amin.....
Chandra Lukman,"Iya kita lock dowen diri sendiri,,"
Sariyan Riyan,"Klu bisa tes masal secepatnya,,,,,"
Sumpeno Peno,Amin.. semoga Indonesia segaera bebas dari virus covid 19.
Ririt Fajriah,🥺☹ ...Yah Allah ...tolong selamafkan sy dari virus corona itu .Karna sy menderita kangker otak ..Suami sy bekerja di salah satu rumah sakit .yg sudah ada pasyen yg terjangkit corona itu.
TopsRocks Tv,Terimakasih pak Yuri 💪
Novi Nugroho,Banyak yg mati dari pada yg sembuh....njir bahaya
Doctor Herbal,Semoga Allah sembuhkan semua pasien virus corona dan sehatkan mereka dan menjaga semua tenaga ahli medis yang sedang menangani pasien virus Aamiin
Lydia Siagian,😭
Muchtar Inc,Semoga lekas membaik. Dibalik musibah pastinya ada hikmah
Rohadi Cr7,Semoga lekas sembuh bumiku dan virus corona cepat menghilang sebelum tiba bulan ramadhan🙏🏻😥😭
YaMan Zega,"Ya Tuhan...Hindarilah dengan keluarga kami virus corona yg mematikan itu, Amin..."
Ridwan Nasir,"Tolong lah lockdwon aja, ngeri saya lihat nya, org masih berkeliaran karna memenuhi kebutuhan hidup, sedang kan negara lain lockdwon beribu kasus, kasus kematian pun ratusan.Gimana yg kita ini masih berkeliaran termasuk saya untuk memenuhi kebutuhan hidup."
uut aza,Semogga cepet musnah pirus korona ya allah  .
Syahrul XD,LOCKDOWN aja untuk mencegah penyebaran covid 19
Inayah Inayah,"Tetap semangat jaga kesehatan dan kebersihan,,,semoga wabah virus corona cepat berakhir,,,Aamiin"
AncesLVL,Perawatannya kurang maju tidak seperti singapur
wahyu tiyas,Lekas sembuh yg terinfeksi 💔💔💔
AYI NEWTON,Ya Allah ya Tuhan kami jauhkanlah keluarga kami anak cucu Adek Abang kakak kakak kami di jauhkan dari virus Corona Amin ya Allah
zama Una,"Saat ini, di daerah saya beredar banyak hoax ttg pasien covid 19. Katanya sudah banyak yg berstatus ODP dan juga meninggal di kecamatan tempat kami tinggal. Awalnya sih sedih, kok bisa ada org yg tega menyebarkan hoax di tngh musibah seperti ini? Tp lama kelamaan saya bersyukur. Krn hoax inilah org2 di daerah saya jadi lebih waspada. Yah, meskipun tidak sedikit jg yg acuh dan malah memilih keluyuran nggak jelas. "
BangKris Kris,"Doakan mereka yg berusaha mencari vaksin.smoga cepat,jasa mereka sekarang sangat berharga bos qu.Terus semangat 🙏✊"
Agil Raihan,Selalu ngeyel yamg jelas warga +62
aziz mdpl,"Gak tegas pemerintah kalo cuma"" gini"" mulu gak bakal ada prubahan"
Nina Sakinah Sakinah,Saran ya...yg positif tanpa gejala jg kudu di isolasi d rs 😭
Pecinta alat berat,Thanks infonya pak.kami di perbatasan selalu siaga
Munasikah Exsan,Ya alloh moga cpt hilang corona yg ad d indonesia
antos shaff,"Yang saya heran, kenapa virus ini hanya menyerang manusia..Bukan peternakan/hewan.. JIKA virus ini mematikan, harusnya hewan yang hidup di sekitar manusia juga terkena dampaknya.. Tapi nyatanya tidak ada berita yang mengabarkan hal itu... "
Anesa Anesa,Ya Allah smakin nambah turs tiap harinya semoga lekas sembuh yg trjangkit virus corona..dn semoga virus ini lekas punah dri muka bumi ini Aamiin
Rineggan Rubacaba,"Wuhan hanya butuh 4 bulan desember - maret utk bebas Corona , Indo mungkin 2/3x lebih lama ... Semoga kita sehat slalu !"
Dina Se,BENAR APA YANG BAPAK BILANG.SEMUA PINGIN SEHAT.KALAU MASALAH ISOLASI DIRI SENDIRI ITU HAL MUDAH PAK.TAPI BAGAIMANA NASIB PARA PEKERJA/BURUH.DISINI PERAN PEMERINTAH SANGAT DI TUNGGU.KARENA WALAUPUN BAPAK BILANG BERKALI KALI MASALAH HIMBAUAN KAYAKNYA TIDAK ADA EFEKNYA JIKA PARA PEKERJA MASIH MASUK MENJALANI RUTINITASNYA.PERUSAHAAN PUN JUGA TIDAK MAU RUGI DALAM HAL INI.TIDAK MUNGKIN PERUSAHAAN MAU MEMBAYAR GAJI KARYAWAN YANG DI RUMAH. (ISOLASI DIRI DAN SOSIAL DISTANCE).APA LAGI SAYA SEKARANG LAGI BEKERJA DI PERUSAHAAN TIONGKOK DI INDONESIA.BINGUNG JADINYA...MAU SEHAT HARUS ISOLASI DIRI TAPI.....  MAU MAKAN JADI YA HARUS BEKERJA......JADI KALAU SPERTI INI BAGAIMANA SOLUSINYA PAK....
Wowir 17,"Kita,berdo'a saja pada allah swt ,zdikir tiap hari dan perbanyak sholawat insyallah kita semua akan aman dari virus covid"
1000 mesem,Terus aja tiru tuh ITALYWarga Menyepelekan CORONA dengan bla bla blaWarga menentang Pemerintah yg lockdown CoronaLihat tuh angka kematian krn covid19 sudah melebihi china
MARTIAN and SAKE,Buset udah 500 lebih tapi negara engga di Lockdown.
Firman Permana,Tunggu sampe berapa yg mati sampai keputusan lockdown keluar?
Wisnu Darmawan,"Saya masih ingat pak Mentri pada awal awal bilang indo bebas Corona udah ada deteksi canggih, tpi buktinya ????????"
Midayani Midayani,"48 meninggal, 29 yg sembuh..katanya banyak yg sembuh..gimna sih yg bener"
Suyamto Suyamto,"Hai pemerintah cuma ngomong doang, pengadaan masker az tidak bisa mengadakan, di setiap apotik kosong"
dida1625 ##,Semenjak sunda empire di tangkap tatanan bumi jadi kacau. ...he viss
Wahyu Ifrayandhi,Tamu luar bebas keluar masukTuan rumah suruh ndekem didalamSama bae boong .
Mohammad Yunus,"Kami melihat di YouTube,di Inggris lansia di isolasi selama 4 bulan kaerena mereka sangat rentan tertular."
M.khoirula Arul,Tolong kalau di bilangin jangan pada ngeyel
Darsanto Darsanto,Kenapa saling menyalahkan?kenapa ga ada kesadaran untuk bersama2 menghadapi virus..mulai dr diri sendiri untuk saling menjaga dan  menghargai...
Cut Meutia,"Lockdwone saka jkrt,Bali dan Jawa agar tidak menyebar dari Sabang sampai Merauke"
Illegitimi Non Carborundum,"Buset death rate nya tinggi euy! Kemaren masih 29 skg 2x lipat jd 48, entahlah, sorry nih ya, tapi keknya perkiraan gw 2000 org positive nyampe deh, klo dlm 1 minggu kedepan kek gini terus"
siti nurjanah,"Cuma bisa diem aja d rumah, mau beli ini itu ngga ada duit, masker, handsanitizer udh pd mahal udh pd kaga ada vitamin aja ga bsa beli.. Cuma bisa berdoa semoga terlindungi dan sehat trs.."
Amel Iva,Semoga orang yang menimbun masker cepat mati
hendrik nggae,"kami masyarakat membutuhkan masker pk,"
Ady Simbolon,Virus ini tidak akan hilang kalau pengobatan Dan pengecekan masih Berbayar💪
Thendy ku,Knp gak ada wartawan yg nanya kenapa kematian di Indonesia tinggi ya???
WiDDi story,"Maunya di rumah Saja tidak kmna, tapi kerja gk diliburkan perusahaan"
galihkelor,"yang  belum sakit menjadi tanggung jawab masing masing untuk terhindar covid 19, tetapi yang sudah kena masak suruh berobat dirumah. satu fakta pemerintah abai terhadap rakyat nya"
waroengmjm02 waroengmjm02,agregat kematian kok tinggi ??apa memang pola hidup kita yg sembrono ?
NanBoruto Palabba,Makanya lock down segera. Kesehatan no 1 materi jangan di utamakan
lamhot Simamora,"Wahai saudaraku sabar lah dan jangan takut terhadap virus corona tersebut, tuhan hanya ingin tau seberapa banyak hambanya yg berdoa kepadanya dan mengenalnya, jdi ujian ini akan selesai secepatnya."
Bima Indra Wijaya,MAAF BAPAK. SOLUSI UNTUK CICILAN DAN TUNGGAKAN UNTUK KAUM KAUM HARIAN SEPERTI KAMI APA??
AxelRo,Bukannya china sudah menemukan obat nya dan seharusnya di share obatnya ke seluruh dunia/negara yang terinfeksi
마르셀,"BACA bisa menyelamatkan keluarga 🙏nama hanya sekedar contoh , mohon maaf bila ada kesamaan nama."
Reza Pahlevi,"Setiap bapak yurianto muncul di youtube... Saya selalu takut hahahah bapak gk pernah bawa kabar baik 😅, smoga yah pak bapak anak memberikan terus berita baik kedepannya"
Telo gantong,Orang2 endonesa kuat2 trnyta... jmlhny sdkt dbndnkn cina dn itali
Nurega NEET,Jaga jarak dan jaga kontak antar sesama COKKKK.
ubu santiago,Orang ini akan sangat populer Karena tiap Hari jumpa pers
Febrian Budhi,"""TAKUT CORONA DARIPADA TUHAN""MEMBAWA AGAMA UNTUK MENUTUPI KEBODOHANNYA. "
Neiv Vy,Sy lbh takut sm binatang buas sprti singa/harimau drpd virus so stay keep calm and enjoy your life
mbah ju,Mohon kesadaran diri 🙏🙏🙏
Raja petir Gundala,Kalau bisa.tempat isolasi itu harus jauh dari tmpt keramain..
Yuli Astutik,Semoga cepat hilang Corona di Indonesia
Tegar Ke,"Jangan sepelekan himbauan PEMERINTAH,karena virus korona NYATA di sekitar kita.MENCEGAH lebih baik dari MENGOBATI,jangan takut bersama sama kita PASTI BISA...."
ALHIDA MART,"Intinya diem di rumah, stop berkumpul di luar rumah walau keagamaan"
batak nauli humbahas,semoga kita bisa menghadapi covid 19 iniagar bumi kita sembuhhkasian sekali bumi ini tuhan
agnes natella,"Harus di cek semua. Sampai pelosok"" negeriMasih banyak yg blm teridentifikasi di desa"". Bisa ribuan bahkan puluhan ribu yg terjangkit corona. Harus di cek semua. Yg positif di pindah di pulau baru yg udah di siapin"
Keizya,"Semakin bertambah saja,peran serta masyarakat sangat butuhkan."
Fitri Fitri,"CNN jgn ngehoax lagi ya,jgn jdi jongose gub DKI ya. .ksih berita yg valid"
Aditya satria,Knp lebih banyak yg mati?
Agung M,"Astagfirullah perasaan barusan bru liat 38 meninggal,,,eh ini udh 48 aj"
nanang nanang,Coba kasih vidionya orang indo yg sdh kna virus corona pak. Biar kita smua lebih berhati hati
eka serliana,"Sekolah libur 14 hari, tp tetanggaku malah ngumpul2 latihan Danza. Dibilangin susah.. katanya Ndak apa2."
Anda Siapa,Blooom sampai 1000orangBaru pemerintah bergerak melockdown Kota yg terbanyak penyebaran nya ...🤗
Syazwan Sobri,Lockdown terus jakarta dan seluruh jawa..jangan kematian meningkat ratusan.....
Ariyanto Afandi,Parah . Kelaparan nih gimana solusinya.
Suryo Bowo,"Yg mati tiba tiba paling juga serangan Jantung,"
Myil Muran,"Mana suaranya org2 yang bilang covid-19 ini azab utk china, ??? sekarang ampe Indonesia."
Pandu Jangkung,Sebulan belum ad..udah 540 yg trinfksi..cpet bngt...mnggl 38Ngeri sklai ya alloh...ampuni dosa kminy alloh..dn sgeralah ambil wbah covid ini..ijinkan kami mnjlani ibdh puasa dn idul fitri bsa dmai dn tenang dn khusuk...amin..
Ida Yaningsih,Ya ALLOH berapa kali aku komentar cuma biar di dengan pemerintahMasyarakat butuh masker dan hand sanitizer Dimana2 ada dan harga normalDengarlah rakyak kecil😭🙏
Nasron Achmadi,"Karena pemerintah gak mau dengar para peneliti, jadinya begini. Lihat aja tuh yang komen di mana2 gak takut Corona, lebih takut pada tuhan."
Mur Dianto,Harusnya Fokus saja Jaga diri dan Masyarakat. Mari Berhenti menyalahkan yang sudah sudah. Fokus memperbaiki.
hamba allah,yg setuju pemerintah bagi2 masker gratis like
SULTAN CHANNEL,"italy pak , pelajari dari kesalahan italy pak"
Yuki THO,"Seharusnya pemerintah melakukan opservasi kerumah2 warga,karna banyak warga yg tdk tau bahwa dirinya terjangkit atau tdk"
Lia Agustina,Sholat tahajud sholat taubat minta ampun sm Alloh SWT d sudahi penyakit ini....negara kita blm mumpuni dlm mghadapi ny...kasihan tenaga medis dokter spesialis pda meninggal....itu brati alat2 proteksi diri tdk memadai....😭😭😭🥺🥺
Raja D Law,Jangan jangan lebih dari 2000 kasus dan bisa mencapai 150 people death
Rusbin Metan Bll,Bisa dirincikan dari jumlah yg sudah mencapai 500-an tsb berada di daerah(provinsi) mana saja..... Selain Jakarta.
Fajrul Q,Sulawesi Selatan tak pernah di update.
Budi Santoso,"Sudah diliburin malah liburan, itu masyarakat +62"
Rio Pamungkas,Klo bicara indonesia seperti negara maju ya.
ninung,Korban meninggal hampir 10% ya.. tinggi bgt
,Mari tingkatkan imunitas tubuh... saya juga buat konten Corona dari sudut pandang Akupresur semoga bermanfaat 🙏
Muhammad Fauzan,welcome to indonesia...
Didik Capricorns,Justru masyarakat semakin resah kalau jumlah penderita disiarkan ke publik..harusnya masyarakat g perlu tau...cukup waspada saja..
Bang BieBie,Dimulai dari kita sendiri. Ayok sayaa mengajak 100x istighfar. Like atau comment kalau sudah mengucapkan istighfar 100x. Mudah2an dengan istighfar kita terhindar dari virus ini. Aamiin
Squirrel Music,"Makannya,dibilang jangan keluar rumah malah pergi liburan"
Mobile Legends Barbar,"Stay di rumah kurang gerak, rebahan terus.. asupan makanan kurang.. nntn nya berita beginian, ada yg tambah stress kah ?"
Musmuslihat Muslim,Semoga kita semua di jauhkn dari virus Corona aamiin
SAEZOZ,Harga masker satu kotak.  Mendekati harga emas 1 gram.. 😠
sepatu keprok,kondusifkan harga masker wahai kau yg di pilih oleh rakyat... dan kau yg berkuasa
Khadafi Official,Jgan lockdown.  Tunggu 5 ribu org jdi korban.  Biar ad rekor dunia.
dede rismunandar,Menyimak kondisi terkini Covid 19 ;  Terima kasih informasinya Pak
FAJAR GACHA OFFICIAL,"Kan chinna menurun tuh virusnya,nah,kenapa kita gak ngukutin aja？！！"
indah yani,"Tolong masyarakat yg mau pnya hajatan nikahan/khitanan mohon dihimbau d suruh menunda dulu ,"
Legan Boy,"Kalo mau berfikir, sebenarnya penyakit ini dari orang orang kaya yang suka ke luar negeri dan sekarang dampaknya pada orang2 yang tidak mampu, welcom to indonesia, 🤔"
Holanholan Nda,Hindarii keramaian please...
dwicha naza,piye iki teros nambah :(
Cak Mas,Saya mau tanya nih...Obat avigan kapan datangnya ?
